"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 00:00","2019","12","01","00:00","-7.6","","-9.8","","85","","0.0","","1","","14","","","","98.87","","","","-14","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 01:00","2019","12","01","01:00","-7.9","","-9.4","","89","","0.0","","1","","18","","","","98.87","","","","-15","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 02:00","2019","12","01","02:00","-8.3","","-9.8","","89","","0.0","","36","","17","","","","98.91","","","","-15","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 03:00","2019","12","01","03:00","-8.6","","-10.1","","89","","0.0","","36","","18","","","","98.96","","","","-16","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 04:00","2019","12","01","04:00","-9.8","","-11.2","","90","","0.0","","35","","17","","","","98.98","","","","-17","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 05:00","2019","12","01","05:00","-10.4","","-11.7","","90","","0.0","","34","","13","","","","99.02","","","","-17","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 06:00","2019","12","01","06:00","-12.2","","-13.4","","91","","0.0","","32","","13","","","","99.05","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 07:00","2019","12","01","07:00","-11.5","","-12.7","","91","","0.0","","33","","16","","","","99.08","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 08:00","2019","12","01","08:00","-11.6","","-12.9","","90","","0.0","","34","","12","","","","99.15","","","","-18","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 09:00","2019","12","01","09:00","-11.6","","-13.3","","87","","0.0","","33","","9","","","","99.18","","","","-17","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 10:00","2019","12","01","10:00","-9.1","","-9.8","","95","","0.0","","35","","13","","","","99.20","","","","-15","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 11:00","2019","12","01","11:00","-8.1","","-9.6","","89","","0.0","","36","","13","","","","99.20","","","","-14","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 12:00","2019","12","01","12:00","-7.3","","-9.0","","87","","0.0","","35","","14","","","","99.19","","","","-13","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 13:00","2019","12","01","13:00","-6.8","","-9.0","","84","","0.0","","34","","11","","","","99.16","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 14:00","2019","12","01","14:00","-7.0","","-9.0","","86","","0.0","","30","","12","","","","99.14","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 15:00","2019","12","01","15:00","-6.9","","-8.6","","88","","0.0","","34","","10","","","","99.15","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2019-12-01 16:00","2019","12","01","16:00","-6.5","","-8.4","","87","","0.0","","29","","7","","","","99.18","","","","-10","","NA"
