"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 00:00","2015","12","01","00:00","-7.6","","-7.6","","100","","0.0","","","","0","","","","98.61","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 01:00","2015","12","01","01:00","-8.6","","-9.0","","97","","0.0","","3","","5","","","","98.57","","","","-11","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 02:00","2015","12","01","02:00","-8.6","","-9.2","","96","","0.0","","12","","4","","","","98.52","","","","-11","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 03:00","2015","12","01","03:00","-10.2","","-10.9","","95","","0.0","","3","","3","","","","98.49","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 04:00","2015","12","01","04:00","-11.2","","-12.0","","93","","0.0","","35","","9","","","","98.41","","","","-16","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 05:00","2015","12","01","05:00","-11.0","","-11.7","","95","","0.0","","2","","5","","","","98.40","","","","-14","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 06:00","2015","12","01","06:00","-11.6","","-12.4","","94","","0.0","","1","","4","","","","98.40","","","","-14","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 07:00","2015","12","01","07:00","-9.9","","-10.7","","94","","0.0","","33","","4","","","","98.36","","","","-12","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 08:00","2015","12","01","08:00","-9.8","","-10.4","","95","","0.0","","","","0","","","","98.35","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 09:00","2015","12","01","09:00","-7.9","","-8.3","","97","","0.0","","","","0","","","","98.35","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 10:00","2015","12","01","10:00","-6.7","","-7.2","","96","","0.0","","34","","5","","","","98.30","","","","-9","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 11:00","2015","12","01","11:00","-5.7","","-6.2","","96","","0.0","","","","0","","","","98.26","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2015-12-01 12:00","2015","12","01","12:00","-4.8","","-5.4","","95","","0.0","","30","","7","","","","98.24","","","","-8","","NA"
