"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 00:00","2014","12","01","00:00","-25.5","","-30.5","","63","","0.0","","27","","17","","","","100.27","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 01:00","2014","12","01","01:00","-26.2","","-30.9","","65","","0.0","","26","","19","","","","100.34","","","","-38","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 02:00","2014","12","01","02:00","-26.3","","-30.9","","65","","0.0","","25","","17","","","","100.41","","","","-38","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 03:00","2014","12","01","03:00","-25.5","","-30.3","","64","","0.0","","25","","17","","","","100.48","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 04:00","2014","12","01","04:00","-25.8","","-30.6","","64","","0.0","","24","","17","","","","100.49","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 05:00","2014","12","01","05:00","-26.7","","-30.8","","68","","0.0","","22","","14","","","","100.48","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 06:00","2014","12","01","06:00","-26.5","","-30.7","","67","","0.0","","22","","13","","","","100.46","","","","-36","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 07:00","2014","12","01","07:00","-26.0","","-30.5","","66","","0.0","","21","","18","","","","100.44","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 08:00","2014","12","01","08:00","-26.8","","-31.0","","68","","0.0","","20","","17","","","","100.42","","","","-38","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 09:00","2014","12","01","09:00","-25.7","","-30.1","","66","","0.0","","20","","17","","","","100.42","","","","-37","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 10:00","2014","12","01","10:00","-23.2","","-28.9","","60","","0.0","","20","","24","","","","100.41","","","","-36","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 11:00","2014","12","01","11:00","-22.8","","-28.1","","62","","0.0","","19","","23","","","","100.36","","","","-35","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 12:00","2014","12","01","12:00","-21.2","","-26.9","","60","","0.0","","19","","28","","","","100.21","","","","-34","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 13:00","2014","12","01","13:00","-20.4","","-25.5","","64","","0.0","","18","","29","","","","100.06","","","","-33","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 14:00","2014","12","01","14:00","-18.8","","-23.8","","65","","0.0","","18","","34","","","","99.90","","","","-32","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 15:00","2014","12","01","15:00","-17.8","","-22.1","","69","","0.0","","18","","36","","","","99.74","","","","-31","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 16:00","2014","12","01","16:00","-16.7","","-21.4","","67","","0.0","","17","","37","","","","99.53","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 17:00","2014","12","01","17:00","-16.6","","-20.6","","71","","0.0","","18","","44","","","","99.37","","","","-30","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 18:00","2014","12","01","18:00","-17.1","","-20.9","","72","","0.2","","18","","55","","","","99.20","","","","-32","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 19:00","2014","12","01","19:00","-17.2","","-20.9","","73","","0.0","","18","","51","","","","99.10","","","","-32","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 20:00","2014","12","01","20:00","-16.8","","-20.7","","71","","0.0","","19","","40","","","","99.08","","","","-30","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 21:00","2014","12","01","21:00","-16.5","","-20.8","","69","","0.0","","19","","38","","","","98.95","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 22:00","2014","12","01","22:00","-16.4","","-20.5","","71","","0.0","","19","","40","","","","98.82","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-01 23:00","2014","12","01","23:00","-16.5","","-20.4","","71","","0.0","","19","","36","","","","98.72","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 00:00","2014","12","02","00:00","-16.8","","-20.5","","73","","0.0","","19","","35","","","","98.63","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 01:00","2014","12","02","01:00","-17.1","","-20.7","","74","","0.0","","19","","32","","","","98.53","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 02:00","2014","12","02","02:00","-17.2","","-20.7","","75","","0.0","","19","","27","","","","98.45","","","","-28","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 03:00","2014","12","02","03:00","-17.7","","-20.9","","76","","0.0","","19","","21","","","","98.39","","","","-28","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 04:00","2014","12","02","04:00","-17.3","","-20.4","","77","","0.0","","19","","21","","","","98.35","","","","-27","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 05:00","2014","12","02","05:00","-17.4","","-20.5","","77","","0.0","","20","","16","","","","98.31","","","","-26","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 06:00","2014","12","02","06:00","-18.0","","-20.8","","78","","0.0","","19","","7","","","","98.30","","","","-23","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 07:00","2014","12","02","07:00","-18.4","","-21.3","","78","","0.0","","22","","8","","","","98.35","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 08:00","2014","12","02","08:00","-18.9","","-21.6","","80","","0.0","","23","","5","","","","98.37","","","","-23","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 09:00","2014","12","02","09:00","-20.8","","-23.5","","79","","0.0","","29","","7","","","","98.39","","","","-27","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 10:00","2014","12","02","10:00","-19.2","","-22.2","","77","","0.0","","28","","9","","","","98.47","","","","-26","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 11:00","2014","12","02","11:00","-17.6","","-20.9","","75","","0.0","","30","","9","","","","98.48","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 12:00","2014","12","02","12:00","-15.9","","-19.5","","74","","0.0","","29","","7","","","","98.45","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 13:00","2014","12","02","13:00","-14.3","","-17.9","","74","","0.0","","28","","10","","","","98.42","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 14:00","2014","12","02","14:00","-13.1","","-17.2","","71","","0.0","","30","","7","","","","98.34","","","","-18","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 15:00","2014","12","02","15:00","-12.5","","-16.5","","72","","0.0","","29","","6","","","","98.34","","","","-16","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 16:00","2014","12","02","16:00","-13.3","","-17.2","","73","","0.0","","24","","4","","","","98.38","","","","-16","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 17:00","2014","12","02","17:00","-12.9","","-16.8","","73","","0.0","","21","","10","","","","98.39","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 18:00","2014","12","02","18:00","-13.4","","-16.6","","77","","0.0","","20","","15","","","","98.35","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 19:00","2014","12","02","19:00","-13.4","","-17.1","","74","","0.0","","20","","17","","","","98.33","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 20:00","2014","12","02","20:00","-12.6","","-16.4","","73","","0.0","","22","","16","","","","98.29","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 21:00","2014","12","02","21:00","-12.4","","-16.2","","73","","0.0","","24","","17","","","","98.24","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 22:00","2014","12","02","22:00","-11.8","","-15.0","","77","","0.0","","26","","15","","","","98.24","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-02 23:00","2014","12","02","23:00","-11.3","","-14.4","","78","","0.0","","29","","20","","","","98.28","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 00:00","2014","12","03","00:00","-12.4","","-15.1","","80","","0.0","","29","","27","","","","98.37","","","","-22","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 01:00","2014","12","03","01:00","-10.9","","-13.9","","78","","0.0","","32","","32","","","","98.49","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 02:00","2014","12","03","02:00","-12.1","","-16.0","","73","","0.0","","32","","41","","","","98.67","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 03:00","2014","12","03","03:00","-13.9","","-17.4","","75","","0.0","","32","","25","","","","98.77","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 04:00","2014","12","03","04:00","-14.6","","-17.4","","79","","0.0","","31","","22","","","","98.84","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 05:00","2014","12","03","05:00","-17.1","","-20.2","","77","","0.0","","29","","13","","","","98.93","","","","-25","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 06:00","2014","12","03","06:00","-16.8","","-19.9","","77","","0.0","","27","","19","","","","98.99","","","","-26","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 07:00","2014","12","03","07:00","-17.7","","-20.8","","77","","0.0","","27","","19","","","","99.08","","","","-27","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 08:00","2014","12","03","08:00","-18.8","","-21.8","","77","","0.0","","28","","19","","","","99.15","","","","-29","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 09:00","2014","12","03","09:00","-18.6","","-21.8","","76","","0.0","","27","","13","","","","99.26","","","","-27","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 10:00","2014","12","03","10:00","-17.0","","-20.7","","73","","0.0","","27","","16","","","","99.33","","","","-26","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 11:00","2014","12","03","11:00","-16.4","","-20.2","","72","","0.0","","29","","14","","","","99.35","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 12:00","2014","12","03","12:00","-15.6","","-19.5","","72","","0.0","","29","","13","","","","99.33","","","","-23","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 13:00","2014","12","03","13:00","-15.0","","-18.9","","72","","0.0","","28","","9","","","","99.37","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 14:00","2014","12","03","14:00","-14.8","","-18.7","","72","","0.0","","29","","12","","","","99.41","","","","-22","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 15:00","2014","12","03","15:00","-14.6","","-19.0","","69","","0.0","","28","","10","","","","99.41","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 16:00","2014","12","03","16:00","-15.7","","-19.3","","74","","0.0","","30","","6","","","","99.43","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 17:00","2014","12","03","17:00","-17.6","","-21.3","","73","","0.0","","","","0","","","","99.44","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 18:00","2014","12","03","18:00","-17.8","","-20.6","","79","","0.0","","","","0","","","","99.44","","","","","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 19:00","2014","12","03","19:00","-18.0","","-20.7","","79","","0.0","","17","","8","","","","99.42","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 20:00","2014","12","03","20:00","-17.6","","-19.9","","82","","0.0","","16","","10","","","","99.38","","","","-24","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 21:00","2014","12","03","21:00","-15.6","","-18.2","","80","","0.0","","17","","11","","","","99.36","","","","-22","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 22:00","2014","12","03","22:00","-14.8","","-17.9","","77","","0.0","","17","","11","","","","99.29","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-03 23:00","2014","12","03","23:00","-14.0","","-17.1","","77","","0.0","","17","","13","","","","99.28","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 00:00","2014","12","04","00:00","-13.1","","-16.2","","77","","0.0","","17","","14","","","","99.21","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 01:00","2014","12","04","01:00","-12.0","","-15.4","","76","","0.0","","16","","17","","","","99.12","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 02:00","2014","12","04","02:00","-11.8","","-14.9","","77","","0.0","","16","","17","","","","99.01","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 03:00","2014","12","04","03:00","-10.4","","-13.7","","77","","0.0","","17","","20","","","","98.93","","","","-18","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 04:00","2014","12","04","04:00","-9.8","","-13.3","","75","","0.0","","18","","30","","","","98.84","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 05:00","2014","12","04","05:00","-10.8","","-13.7","","79","","0.0","","19","","27","","","","98.81","","","","-20","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 06:00","2014","12","04","06:00","-11.1","","-14.4","","77","","0.0","","19","","27","","","","98.74","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 07:00","2014","12","04","07:00","-12.4","","-15.4","","78","","0.0","","19","","26","","","","98.72","","","","-22","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 08:00","2014","12","04","08:00","-13.1","","-15.8","","80","","0.0","","19","","26","","","","98.68","","","","-23","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 09:00","2014","12","04","09:00","-12.7","","-15.7","","78","","0.0","","18","","17","","","","98.69","","","","-21","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 10:00","2014","12","04","10:00","-11.1","","-14.7","","75","","0.0","","19","","21","","","","98.64","","","","-19","","NA"
"-97.25","49.92","WINNIPEG A CS","502S001","2014-12-04 11:00","2014","12","04","11:00","-9.8","","-13.7","","73","","0.0","","19","","25","","","","98.57","","","","-19","","NA"
